LinkId,Speed_kmh_count,Speed_kmh_mean,Speed_kmh_std,Speed_kmh_min,Speed_kmh_25,Speed_kmh_50,Speed_kmh_75,Speed_kmh_max,Median,SrcLatitude,SrcLongitude,DestLatitude,DestLongitude,LatitudeMean,LongitudeMean
LAy_65-67,78113.0,9.826104637415026,10.848613165754628,0.376,2.3830986000000003,6.0428571,12.5333333,56.4,6.0428571,45.505217,-73.570633,45.506133,-73.572633,45.505675,-73.57163299999999
LAy_66-65,102680.0,13.641882004052398,11.946839962037258,0.37599540000000004,4.2545455,10.173913,20.0571429,59.236363600000004,10.173913,45.504283,-73.568733,45.505217,-73.570633,45.50475,-73.569683
LBH_80-66,37174.0,10.336483278127185,10.301811236204315,0.462,2.0533333,6.8727273,15.12,59.4,6.8727273,45.503033,-73.566383,45.504283,-73.568733,45.503658,-73.56755799999999
LBe_85-86,116020.0,21.484540916075677,16.05521798013229,0.682,8.129801299999999,19.18125,32.3052632,72.2117647,19.18125,45.515316999999996,-73.561083,45.517033000000005,-73.564717,45.516175000000004,-73.5629
LBe_86-85,50987.0,12.04039123723302,11.857250174731014,0.682,2.3162264,8.5846154,18.0529412,72.2117647,8.5846154,45.517033000000005,-73.564717,45.515316999999996,-73.561083,45.516175000000004,-73.5629
LBl_24-26,14351.0,12.36702285594732,13.678460619634633,1.238,2.5761849999999997,6.7939024,17.2744186,74.28,6.7939024,45.508362,-73.571278,45.50525,-73.564693,45.506806,-73.5679855
LBl_24-68,7245.0,6.542564406045548,10.728801572315176,0.34,0.6725275,1.5732648,7.2,55.6363636,1.5732648,45.508362,-73.571278,45.507483,-73.5695,45.5079225,-73.570389
LBl_68-69,109808.0,9.861971579178203,7.851642774648581,0.478,5.4455696,8.3533981,11.174026,57.36,8.3533981,45.507483,-73.5695,45.5063,-73.56693299999999,45.5068915,-73.5682165
LBl_69-26,117124.0,12.788996121838393,10.241678330163177,0.408,5.360583900000001,10.060274,17.4857143,58.153846200000004,10.060274,45.5063,-73.56693299999999,45.50525,-73.564693,45.505775,-73.56581299999999
LCC_34-35,120718.0,33.49491690748439,15.992192788807767,0.896,23.7176471,35.0608696,44.8,73.30909090000002,35.0608696,45.53261,-73.59025,45.534917,-73.594972,45.5337635,-73.592611
LCC_35-34,173875.0,36.208594776855215,18.4805925589142,0.896,22.4,35.84,52.0258065,73.30909090000002,35.84,45.534917,-73.594972,45.53261,-73.59025,45.5337635,-73.592611
LCC_35-36,139898.0,24.872232720564266,10.040612280667371,3.14,20.4782609,25.5746606,30.0638298,74.36842109999999,25.5746606,45.534917,-73.594972,45.5425,-73.611972,45.5387085,-73.603472
LCC_36-35,199870.0,29.101936011632557,10.8489036225083,3.14,24.257510699999997,30.551351399999998,35.5471698,74.36842109999999,30.551351399999998,45.5425,-73.611972,45.534917,-73.594972,45.5387085,-73.603472
LCP_10-17,21474.0,22.217220623246718,8.667607269781668,6.274,15.1180723,23.7751579,28.303759399999997,73.8117647,23.7751579,45.576028,-73.636462,45.556428000000004,-73.626345,45.566228,-73.6314035
LCh_10-16,39193.0,20.829980832263416,9.923964791760161,2.974,13.217777800000002,22.5873418,27.4523077,74.35,22.5873418,45.576028,-73.636462,45.564785,-73.64494300000001,45.570406500000004,-73.6407025
LHB_15-20,192598.0,26.40084535468749,10.72734139607587,3.824,20.1853372,26.9929412,32.933971299999996,74.8173913,26.9929412,45.570268,-73.658807,45.555365,-73.66839300000001,45.5628165,-73.6636
LHB_20-15,176269.0,24.252628770586433,10.836743686812582,3.76,15.8873239,26.131274100000002,31.774647899999998,74.3736264,26.131274100000002,45.555365,-73.66839300000001,45.570268,-73.658807,45.5628165,-73.6636
LHB_20-21,38185.0,31.501708067764827,13.314522794554556,5.036,24.1728,32.7249097,40.467857099999996,72.5184,32.7249097,45.555365,-73.66839300000001,45.534987,-73.680712,45.545176,-73.6745525
LHB_21-20,26345.0,27.377631848753083,11.606021711646443,5.038,19.974449300000003,28.2504673,35.1488372,74.94545450000001,28.2504673,45.534987,-73.680712,45.555365,-73.66839300000001,45.545176,-73.6745525
LJM_70-72,32224.0,11.299803685970085,9.832954545877891,0.3902168,3.7741935,9.0,15.688636374999998,58.5,9.0,45.508383,-73.568717,45.509333000000005,-73.570817,45.508858000000004,-73.56976700000001
LJM_71-70,9410.0,10.194707116726887,10.252294291087816,0.482,2.5294461,7.290756299999999,13.7714286,57.84,7.290756299999999,45.50715,-73.56616700000001,45.508383,-73.568717,45.5077665,-73.567442
LJT_12-43,72905.0,23.24577119683012,11.623097450127057,2.184,15.6,24.8810127,31.2,74.17358490000001,24.8810127,45.558837,-73.59818800000001,45.55025,-73.604917,45.554543499999994,-73.6015525
LJT_18-36,208094.0,21.829177352265802,11.788187571834206,1.444,15.2,21.66,28.5626374,74.2628571,21.66,45.547942,-73.6069,45.5425,-73.611972,45.545221,-73.60943599999999
LJT_18-43,187614.0,19.993643917294015,14.438068224059583,0.61,10.457142900000001,16.6363636,28.8947368,73.2,16.6363636,45.547942,-73.6069,45.55025,-73.604917,45.549096,-73.6059085
